"","BRANCH","Lon","Lat"
"1","West End",-71.0650064095455,42.3614466844553
"2","Codman Square",-71.0709680531887,42.2875192036297
"3","Hyde Park",-71.1221358053461,42.2571040122181
"4","Connolly",-71.1110986663788,42.3206457688339
"5","Dudley",-71.0835157227528,42.3280177912347
"6","Central",-71.0788692940349,42.3494351366054
"7","North End",-71.0550249061683,42.3640798628704
"8","South End",-71.0770320083669,42.3413321337006
"9","Honan-Allston",-71.1281070028289,42.3601129614952
"10","Brighton",-71.1529065612876,42.3476854983543
"11","Faneuil",-71.1678781122689,42.3513226531212
"12","Charlestown",-71.0644383759992,42.3758164329738
"13","Adams Street",-71.0544051478307,42.2862737995185
"14","Fields Corner",-71.0603065050297,42.2988854569341
"15","Lower Mills",-71.0685089171344,42.2735514599007
"16","Uphams Corner",-71.0675347959707,42.3148536980483
"17","East Boston",-71.0285772425219,42.3777663350266
"18","Jamaica Plain",-71.1148784992973,42.3086337461552
"19","Mattapan",-71.0931398327333,42.2775239697367
"20","Roslindale",-71.1286545702298,42.2856474827403
"21","Egleston Square",-71.0956321871008,42.3140567812727
"22","Grove Hall",-71.0811937657854,42.3079877269766
"23","Parker Hill",-71.0990794611907,42.3324613683475
"24","West Roxbury",-71.1574501117873,42.2833957456081
"25","South Boston",-71.0387185918581,42.3358360370932
"26","Washington Village",-71.0504543523722,42.3304148586108
