"","OBJECTID","SITE_NAME","OWNERSHIP","PROTECTION","TYPECODE","DISTRICT","ACRES","ADDRESS","ZonAgg","TypeLong","OS_Own_Jur","OS_Mngmnt","POS","PA","ALT_NAME","AgncyJuris","Shape_STArea__","Shape_STLength__","PARK_ID","REGION","ShapeSTArea","ShapeSTLength","Lat","Lon"
"2",2,"Nickerson Field","Private"," ",3,"Allston-Brighton",6.34559501," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","N","Boston University Field","",0,0,NA,"INFO_Reallocation From Dept",276419.032470703,2104.70261132196,42.353333,-71.11916
"3",3,"Hooker Sorrento Street Playground","City of Boston","A97",3,"Allston-Brighton",1.00537799,"120 Hooker Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",43737.3513183594,852.844111741326,42.3659432,-71.0324121
"4",4,"Smith Playground","City of Boston","A97",3,"Allston-Brighton",14.79771231,"235 Western Ave.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",654457.503662109,3624.89362059887,42.3635468,-71.1322849
"6",6,"Ringer Playground","City of Boston","A97",3,"Allston-Brighton",10.25585494," ","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",447031.205078125,3765.82938421239,42.3507371,-71.137796
"8",8,"McKinney Playground","City of Boston","A97",3,"Allston-Brighton",5.89138132,"61-74 Faneuil Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",256633.134765625,2170.12626813511,42.3550448,-71.1526497
"9",9,"Hobart Park","City of Boston","A97",3,"Allston-Brighton",0.80884689,"Opposite 18 Ranlegh Rd.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",35233.9973144531,797.596802155951,42.3552491,-71.1610219
"12",12,"Reilly Playground","Commonwealth of Massachusetts","A97",3,"Allston-Brighton",6.96695306," ","Open Space District","Parks, Playgrounds & Athletic Fields","DCR"," ","X","X"," ","",0,0,NA,"INFO_Reallocation From Dept",303485.871826172,2550.50594926454,42.3643243,-71.137841
"15",15,"Hardiman Playground","City of Boston","A97",3,"Allston-Brighton",1.47302947,"Adair Road/Faneuil Str.","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X"," ","",0,0,NA,"PARK_Maintenance_Region 4",64166.3046875,1064.40425969765,42.3512573,-71.1662032
"18",18,"Rogers Park","City of Boston","A97",3,"Allston-Brighton",8.17116962,"Adjacent to 91 Foster St","Open Space District","Parks, Playgrounds & Athletic Fields","BPRD"," ","X","X","Galvin Park","",0,0,NA,"PARK_Maintenance_Region 4",355942.476806641,2579.29301493364,42.3474752,-71.1591779
"23",23,"Boston College Athletic Fields","Private"," ",3,"Allston-Brighton",9.72386143," ","Institutional District","Parks, Playgrounds & Athletic Fields","NULL"," ","N","N"," ","",0,0,NA,"INFO_Reallocation From Dept",423578.935058594,3571.94170217031,42.3351179,-71.1664609
